관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
돈내코,제주특별자치도 서귀포시 돈내코로 137 ,관광지,자연,자연관광지,계곡,6251.0,1.0,302.0,48.0,47.0,50.0,43.0,42.0,29.0,43.0
동일리포구,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 ,관광지,자연,자연관광지,항구/포구,478.0,1.0,54.0,13.0,9.0,9.0,6.0,4.0,4.0,9.0
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,1.0,80.0,13.0,18.0,9.0,10.0,9.0,8.0,13.0
라온골프클럽,제주특별자치도 제주시 한경면 용금로 998 ,레포츠,레포츠,육상 레포츠,골프,615.0,1.0,52.0,12.0,8.0,7.0,7.0,4.0,8.0,6.0
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182 (구좌읍),관광지,자연,자연관광지,동굴,43227.0,1.0,5728.0,983.0,954.0,664.0,674.0,785.0,739.0,929.0
맥파이브루어리,제주특별자치도 제주시 동회천1길 23 (회천동),관광지,인문(문화/예술/역사),산업관광지,식음료,823.0,1.0,75.0,12.0,15.0,9.0,4.0,15.0,9.0,11.0
머체왓숲길,제주특별자치도 서귀포시 남원읍 서성로 755 ,레포츠,레포츠,육상 레포츠,트래킹,5344.0,1.0,487.0,90.0,105.0,58.0,57.0,51.0,52.0,74.0
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,8368.0,1.0,644.0,106.0,108.0,93.0,95.0,80.0,57.0,105.0
무릉자전거도로,제주특별자치도 제주시 한경면 판포리 1610,레포츠,레포츠,육상 레포츠,트래킹,350.0,1.0,61.0,10.0,8.0,11.0,7.0,6.0,7.0,12.0
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,관광지,자연,자연관광지,계곡,814.0,1.0,53.0,9.0,9.0,8.0,6.0,5.0,6.0,10.0
문서프,제주특별자치도 제주시 애월읍 곽지7길 1 ,레포츠,레포츠,수상 레포츠,윈드서핑/제트스키,405.0,1.0,43.0,4.0,10.0,8.0,4.0,4.0,5.0,8.0
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,1.0,68.0,13.0,19.0,8.0,9.0,7.0,4.0,8.0
미천굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 ,관광지,자연,자연관광지,동굴,1936.0,1.0,163.0,44.0,23.0,22.0,15.0,20.0,20.0,19.0
바이제주,제주특별자치도 제주시 서해안로 626 (용담삼동),쇼핑,쇼핑,쇼핑,특산물판매점,554.0,1.0,58.0,12.0,5.0,5.0,11.0,8.0,4.0,13.0
발자국화석공원,제주특별자치도 서귀포시 대정읍 형제해안로 192 ,관광지,자연,관광자원,기암괴석,1281.0,1.0,94.0,23.0,13.0,6.0,12.0,10.0,15.0,15.0
방선문,제주특별자치도 제주시 오라이동 39-1,관광지,자연,자연관광지,계곡,623.0,1.0,68.0,14.0,11.0,10.0,12.0,9.0,5.0,7.0
법환포구,제주특별자치도 서귀포시 막숙포로 46 (법환동),관광지,자연,자연관광지,항구/포구,2010.0,1.0,192.0,39.0,25.0,27.0,27.0,20.0,23.0,31.0
보목포구,제주특별자치도 서귀포시 보목포로 46 (보목동),관광지,자연,자연관광지,항구/포구,1004.0,1.0,93.0,17.0,19.0,9.0,14.0,9.0,8.0,17.0
보물섬하이킹,"제주특별자치도 제주시 용문로14길 14 (용담이동,장원하이빌아파트)",레포츠,레포츠,육상 레포츠,자전거하이킹,587.0,1.0,61.0,19.0,8.0,8.0,8.0,6.0,3.0,9.0
보통청춘기록실청춘사진관,제주특별자치도 제주시 한림읍 일주서로 5867 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,786.0,1.0,103.0,26.0,15.0,7.0,15.0,16.0,15.0,9.0
비체올린,제주특별자치도 제주시 한경면 판조로 253-6 ,레포츠,레포츠,수상 레포츠,카약/카누,2417.0,1.0,175.0,36.0,34.0,25.0,20.0,27.0,12.0,21.0
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,관광지,자연,자연관광지,해수욕장,7256.0,1.0,638.0,128.0,95.0,95.0,92.0,60.0,57.0,111.0
사려니숲길,제주특별자치도 서귀포시 표선면 가시리 붉은오름 입구 ,레포츠,레포츠,육상 레포츠,트래킹,91246.0,1.0,9038.0,1511.0,1416.0,1238.0,1023.0,1138.0,1201.0,1511.0
산방산랜드,제주특별자치도 서귀포시 안덕면 사계리 117-2,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3336.0,1.0,228.0,51.0,30.0,37.0,29.0,29.0,16.0,36.0
산지천,제주특별자치도 제주시 건입동 ,관광지,자연,자연관광지,계곡,2021.0,1.0,134.0,31.0,26.0,13.0,18.0,10.0,16.0,20.0
