관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
면뽑는선생만두빚는아내,제주특별자치도 제주시 한림읍 옹포2길 10 ,음식점,음식,음식점,한식,236.0,1.0,22.0,5.0,4.0,1.0,3.0,2.0,2.0,5.0,,
명랑스낵,제주특별자치도 제주시 한림로 585 ,음식점,음식,음식점,한식,713.0,1.0,79.0,16.0,14.0,4.0,13.0,15.0,3.0,14.0,33.4092436,126.2588265
명월국민학교,제주특별자치도 제주시 한림읍 명월로 48 ,음식점,음식,음식점,이색음식점,2090.0,1.0,175.0,29.0,26.0,23.0,32.0,28.0,21.0,16.0,33.3885427,126.2648518
명월성지,제주특별자치도 제주시 한림읍 명월리 2236 ,관광지,인문(문화/예술/역사),역사관광지,성,1048.0,1.0,106.0,16.0,22.0,15.0,10.0,12.0,12.0,19.0,33.4004982,126.2609256
명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282 ,음식점,음식,음식점,한식,2602.0,1.0,234.0,31.0,44.0,37.0,35.0,32.0,24.0,31.0,33.5290971,126.8463777
모구리오름,제주특별자치도 서귀포시 성산읍 서성일로 260 ,관광지,자연,자연관광지,산,651.0,1.0,86.0,16.0,16.0,11.0,8.0,14.0,8.0,13.0,33.40684760000001,126.8216772
모노클제주,제주특별자치도 서귀포시 태위로360번길 30-8 ,음식점,음식,음식점,카페/전통찻집,191.0,1.0,21.0,4.0,4.0,2.0,0.0,3.0,3.0,5.0,33.2729034,126.6845006
모뉴에트,제주특별자치도 제주시 종달동길 23 ,음식점,음식,음식점,카페/전통찻집,241.0,1.0,36.0,11.0,4.0,1.0,5.0,5.0,1.0,9.0,33.4915646,126.9022722
모루쿠다,제주특별자치도 서귀포시 태평로431번길 32 1층,음식점,음식,음식점,일식,621.0,1.0,59.0,14.0,14.0,4.0,5.0,8.0,8.0,6.0,33.2581015,126.5772117
모슬포중앙시장,제주특별자치도 서귀포시 대정읍 영서중로13번길 9-8 ,쇼핑,쇼핑,쇼핑,상설시장,1837.0,1.0,204.0,44.0,25.0,16.0,28.0,27.0,32.0,32.0,33.2210679,126.2540093
